Saison 64; Spieltag 1; Saarbruecken;0;2; 1. FC Koeln
Saison 69; Spieltag 16; Dortmund;3;1; Nuernberg
Saison 69; Spieltag 16; VfB Stuttgart;1;0; Hannover
Saison 69; Spieltag 16; Braunschweig;3;0; Kaiserslautern
Saison 69; Spieltag 16; Hertha;1;0; Schalke
Saison 69; Spieltag 16; 1. FC Koeln;1;2; Aachen
Saison 69; Spieltag 16; Duisburg;3;4;1860
Saison 69; Spieltag 17; Gladbach;1;1; Bremen
Saison 69; Spieltag 17; Schalke;2;0; Frankfurt
Saison 69; Spieltag 17; Kaiserslautern;1;3; VfB Stuttgart
Saison 69; Spieltag 17;1860;0;1; Braunschweig
Saison 69; Spieltag 17; Hannover;1;0; Bayern
Saison 69; Spieltag 17; Hamburg;1;2; Duisburg
Saison 69; Spieltag 17; Nuernberg;0;1; 1. FC Koeln
Saison 69; Spieltag 17; Offenbach;4;3; Dortmund
Saison 69; Spieltag 17; Aachen;0;0; Hertha
Saison 69; Spieltag 18; Hannover;1;0; Bremen
Saison 69; Spieltag 18; Kaiserslautern;3;1; Bayern
Saison 69; Spieltag 18; Schalke;1;0; Duisburg
Saison 69; Spieltag 18;1860;3;1; VfB Stuttgart
Saison 69; Spieltag 18; Offenbach;3;1; 1. FC Koeln
Saison 69; Spieltag 18; Hamburg;0;0; Braunschweig
Saison 69; Spieltag 18; Gladbach;1;0; Dortmund
Saison 69; Spieltag 18; Aachen;4;2; Nuernberg
Saison 69; Spieltag 18; Hertha;2;0; Frankfurt
Saison 69; Spieltag 19; Nuernberg;2;1; Offenbach
Saison 69; Spieltag 19; Bremen;2;1; Kaiserslautern
Saison 69; Spieltag 19; Bayern;0;2;1860
Saison 69; Spieltag 19; 1. FC Koeln;1;4; Gladbach
Saison 69; Spieltag 19; VfB Stuttgart;3;0; Hamburg
Saison 69; Spieltag 19; Dortmund;1;1; Hannover
Saison 69; Spieltag 19; Duisburg;2;1; Hertha
Saison 69; Spieltag 19; Braunschweig;3;0; Schalke
Saison 69; Spieltag 19; Frankfurt;0;1; Aachen
Saison 69; Spieltag 20;1860;4;3; Bremen
Saison 69; Spieltag 20; Hannover;3;0; 1. FC Koeln
Saison 69; Spieltag 20; Aachen;1;2; Offenbach
Saison 69; Spieltag 20; Hamburg;2;2; Bayern
Saison 69; Spieltag 20; Gladbach;1;1; Nuernberg
Saison 69; Spieltag 20; Frankfurt;2;1; Duisburg
Saison 69; Spieltag 20; Schalke;1;1; VfB Stuttgart
Saison 69; Spieltag 20; Kaiserslautern;1;2; Dortmund
Saison 69; Spieltag 20; Hertha;0;0; Braunschweig
Saison 69; Spieltag 21; Dortmund;2;0;1860
Saison 69; Spieltag 21; Offenbach;1;0; Gladbach
Saison 69; Spieltag 21; 1. FC Koeln;2;1; Kaiserslautern
Saison 69; Spieltag 21; Duisburg;1;0; Aachen
Saison 69; Spieltag 21; Braunschweig;1;0; Frankfurt
Saison 69; Spieltag 21; Bremen;1;1; Hamburg
Saison 69; Spieltag 21; Nuernberg;1;2; Hannover
Saison 69; Spieltag 21; Bayern;0;0; Schalke
Saison 69; Spieltag 21; VfB Stuttgart;4;2; Hertha
Saison 69; Spieltag 22;1860;2;1; 1. FC Koeln
Saison 69; Spieltag 22; Duisburg;1;1; Braunschweig
Saison 69; Spieltag 22; Hannover;2;2; Offenbach
Saison 69; Spieltag 22; Aachen;2;1; Gladbach
Saison 69; Spieltag 22; Schalke;2;1; Bremen
Saison 69; Spieltag 22; Hamburg;2;0; Dortmund
Saison 69; Spieltag 22; Hertha;1;2; Bayern
Saison 69; Spieltag 22; Frankfurt;3;0; VfB Stuttgart
Saison 69; Spieltag 22; Kaiserslautern;1;1; Nuernberg
Saison 69; Spieltag 23; Bayern;2;0; Frankfurt
Saison 69; Spieltag 23; VfB Stuttgart;3;2; Duisburg
Saison 69; Spieltag 23; Nuernberg;3;0;1860
Saison 69; Spieltag 23; Dortmund;0;1; Schalke
Saison 69; Spieltag 23; Gladbach;3;2; Hannover
Saison 69; Spieltag 23; Offenbach;4;1; Kaiserslautern
Saison 69; Spieltag 23; Braunschweig;1;0; Aachen
Saison 69; Spieltag 23; Bremen;2;0; Hertha
Saison 69; Spieltag 23; 1. FC Koeln;4;1; Hamburg
Saison 69; Spieltag 24;1860;2;0; Offenbach
Saison 69; Spieltag 24; Kaiserslautern;2;0; Gladbach
Saison 69; Spieltag 24; Frankfurt;2;1; Bremen
Saison 69; Spieltag 24; Braunschweig;1;2; VfB Stuttgart
Saison 69; Spieltag 24; Aachen;2;0; Hannover
Saison 69; Spieltag 24; Duisburg;0;0; Bayern
Saison 69; Spieltag 24; Schalke;3;1; 1. FC Koeln
Saison 69; Spieltag 24; Hamburg;4;2; Nuernberg
Saison 69; Spieltag 24; Hertha;0;0; Dortmund
Saison 69; Spieltag 25; Dortmund;0;1; Frankfurt
Saison 69; Spieltag 25; Bayern;2;1; Braunschweig
Saison 69; Spieltag 25; Gladbach;3;0;1860
Saison 69; Spieltag 25; Nuernberg;1;1; Schalke
Saison 69; Spieltag 25; Offenbach;1;1; Hamburg
Saison 69; Spieltag 25; 1. FC Koeln;1;0; Hertha
Saison 69; Spieltag 25; VfB Stuttgart;3;1; Aachen
Saison 69; Spieltag 25; Bremen;2;1; Duisburg
Saison 69; Spieltag 25; Hannover;0;2; Kaiserslautern
Saison 69; Spieltag 26; Duisburg;1;0; Dortmund
Saison 69; Spieltag 26; Hertha;2;0; Nuernberg
Saison 69; Spieltag 26;1860;2;1; Hannover
Saison 69; Spieltag 26; Aachen;1;0; Kaiserslautern
Saison 69; Spieltag 26; Frankfurt;1;2; 1. FC Koeln
Saison 69; Spieltag 26; VfB Stuttgart;3;0; Bayern
Saison 69; Spieltag 26; Schalke;3;0; Offenbach
Saison 69; Spieltag 26; Braunschweig;1;3; Bremen
Saison 69; Spieltag 26; Hamburg;2;0; Gladbach
Saison 69; Spieltag 27; Offenbach;1;0; Hertha
Saison 69; Spieltag 27; Kaiserslautern;3;1;1860
Saison 69; Spieltag 27; Bayern;1;1; Aachen
Saison 69; Spieltag 27; Hannover;2;2; Hamburg
Saison 69; Spieltag 27; Bremen;1;0; VfB Stuttgart
Saison 69; Spieltag 27; 1. FC Koeln;1;1; Duisburg
Saison 69; Spieltag 27; Gladbach;3;0; Schalke
Saison 69; Spieltag 27; Nuernberg;1;0; Frankfurt
Saison 69; Spieltag 27; Dortmund;2;1; Braunschweig
Saison 69; Spieltag 28; Hertha;2;1; Gladbach
Saison 69; Spieltag 28; Duisburg;1;0; Nuernberg
Saison 69; Spieltag 28; Aachen;4;0;1860
Saison 69; Spieltag 28; Schalke;1;1; Hannover
Saison 69; Spieltag 28; Frankfurt;3;2; Offenbach
Saison 69; Spieltag 28; Bayern;6;0; Bremen
Saison 69; Spieltag 28; Hamburg;3;1; Kaiserslautern
Saison 69; Spieltag 28; VfB Stuttgart;2;2; Dortmund
Saison 69; Spieltag 28; Braunschweig;2;1; 1. FC Koeln
Saison 69; Spieltag 29; 1. FC Koeln;5;2; VfB Stuttgart
Saison 69; Spieltag 29; Bremen;1;2; Aachen
Saison 69; Spieltag 29; Nuernberg;2;0; Braunschweig
Saison 69; Spieltag 29; Offenbach;0;0; Duisburg
Saison 69; Spieltag 29; Gladbach;2;3; Frankfurt
Saison 69; Spieltag 29; Hannover;1;1; Hertha
Saison 69; Spieltag 29; Kaiserslautern;1;1; Schalke
Saison 69; Spieltag 29;1860;3;3; Hamburg
Saison 69; Spieltag 29; Dortmund;0;1; Bayern
Saison 69; Spieltag 30; Hertha;1;0; Kaiserslautern
Saison 69; Spieltag 30; Bremen;2;1; Dortmund
Saison 69; Spieltag 30; Schalke;2;0;1860
Saison 69; Spieltag 30; Duisburg;1;1; Gladbach
Saison 69; Spieltag 30; Braunschweig;2;2; Offenbach
Saison 69; Spieltag 30; VfB Stuttgart;2;3; Nuernberg
Saison 69; Spieltag 30; Bayern;1;0; 1. FC Koeln
Saison 69; Spieltag 30; Aachen;2;0; Hamburg
Saison 69; Spieltag 30; Frankfurt;0;0; Hannover
Saison 69; Spieltag 31; Dortmund;3;1; Aachen
Saison 69; Spieltag 31;1860;0;1; Hertha
Saison 69; Spieltag 31; Hamburg;1;3; Schalke
Saison 69; Spieltag 31; Nuernberg;2;0; Bayern
Saison 69; Spieltag 31; 1. FC Koeln;3;3; Bremen
Saison 69; Spieltag 31; Gladbach;1;1; Braunschweig
Saison 69; Spieltag 31; Offenbach;2;1; VfB Stuttgart
Saison 69; Spieltag 31; Hannover;1;1; Duisburg
Saison 69; Spieltag 31; Kaiserslautern;2;2; Frankfurt
Saison 69; Spieltag 32; Frankfurt;3;0;1860
Saison 69; Spieltag 32; Bremen;3;3; Nuernberg
Saison 69; Spieltag 32; Braunschweig;3;3; Hannover
Saison 69; Spieltag 32; Duisburg;0;0; Kaiserslautern
Saison 69; Spieltag 32; Hertha;3;2; Hamburg
Saison 69; Spieltag 32; VfB Stuttgart;0;3; Gladbach
Saison 69; Spieltag 32; 1. FC Koeln;2;1; Dortmund
Saison 69; Spieltag 32; Schalke;3;1; Aachen
Saison 69; Spieltag 32; Bayern;5;1; Offenbach
Saison 69; Spieltag 33; Kaiserslautern;4;0; Braunschweig
Saison 69; Spieltag 33; Hamburg;1;4; Frankfurt
Saison 69; Spieltag 33; Nuernberg;2;2; Dortmund
Saison 69; Spieltag 33; Gladbach;1;1; Bayern
Saison 69; Spieltag 33;1860;2;1; Duisburg
Saison 69; Spieltag 33; Aachen;2;1; 1. FC Koeln
Saison 69; Spieltag 33; Offenbach;0;3; Bremen
Saison 69; Spieltag 33; Hannover;1;0; VfB Stuttgart
Saison 69; Spieltag 33; Schalke;2;0; Hertha
Saison 69; Spieltag 34; Bremen;6;5; Gladbach
Saison 69; Spieltag 34; Dortmund;3;0; Offenbach
Saison 69; Spieltag 34; VfB Stuttgart;4;3; Kaiserslautern
Saison 69; Spieltag 34; Braunschweig;2;1;1860
Saison 69; Spieltag 34; 1. FC Koeln;3;0; Nuernberg
Saison 69; Spieltag 34; Frankfurt;1;0; Schalke
Saison 69; Spieltag 34; Hertha;0;1; Aachen
Saison 69; Spieltag 34; Duisburg;0;0; Hamburg
Saison 69; Spieltag 34; Bayern;2;1; Hannover
Saison 70; Spieltag 1; Hannover;4;2; Dortmund
Saison 70; Spieltag 1; Bayern;4;0; Essen
Saison 70; Spieltag 1; Oberhausen;3;1; Frankfurt
Saison 70; Spieltag 1; 1. FC Koeln;3;2; Braunschweig
Saison 70; Spieltag 1; Schalke;2;0; Gladbach
Saison 70; Spieltag 1; VfB Stuttgart;1;1; Bremen
Saison 70; Spieltag 1; Hertha;1;0; Duisburg
Saison 70; Spieltag 1; Hamburg;2;1; Kaiserslautern
Saison 70; Spieltag 1; Aachen;0;0;1860
Saison 70; Spieltag 2; Frankfurt;2;1; Schalke
Saison 70; Spieltag 2; Duisburg;1;1; VfB Stuttgart
Saison 70; Spieltag 2;1860;2;0; Hertha
Saison 70; Spieltag 2; Gladbach;2;1; Bayern
Saison 70; Spieltag 2; Braunschweig;1;1; Hannover
Saison 70; Spieltag 2; Kaiserslautern;0;0; Oberhausen
Saison 70; Spieltag 2; Essen;2;0; Aachen
Saison 70; Spieltag 2; Dortmund;2;1; Hamburg
Saison 70; Spieltag 2; Bremen;2;1; 1. FC Koeln
Saison 70; Spieltag 3; Bayern;2;1; Frankfurt
Saison 70; Spieltag 3; 1. FC Koeln;6;2; Duisburg
Saison 70; Spieltag 3; Oberhausen;2;1; Dortmund
Saison 70; Spieltag 3; Hertha;2;1; Aachen
Saison 70; Spieltag 3; Hamburg;3;3; Braunschweig
Saison 70; Spieltag 3; Hannover;3;2; Bremen
Saison 70; Spieltag 3; Schalke;4;2; Kaiserslautern
Saison 70; Spieltag 3; VfB Stuttgart;3;1;1860
Saison 70; Spieltag 3; Gladbach;2;1; Essen
Saison 70; Spieltag 4; Frankfurt;1;2; Gladbach
Saison 70; Spieltag 4; Duisburg;1;0; Hannover
Saison 70; Spieltag 4;1860;1;0; 1. FC Koeln
Saison 70; Spieltag 4; Bremen;1;1; Hamburg
Saison 70; Spieltag 4; Essen;5;2; Hertha
Saison 70; Spieltag 4; Aachen;4;2; VfB Stuttgart
Saison 70; Spieltag 4; Dortmund;1;1; Schalke
Saison 70; Spieltag 4; Kaiserslautern;0;0; Bayern
Saison 70; Spieltag 4; Braunschweig;0;4; Oberhausen
Saison 70; Spieltag 5; Gladbach;1;1; Kaiserslautern
Saison 70; Spieltag 5; Bayern;3;0; Dortmund
Saison 70; Spieltag 5; Frankfurt;2;1; Essen
Saison 70; Spieltag 5; Schalke;1;1; Braunschweig
Saison 70; Spieltag 5; Hamburg;4;1; Duisburg
Saison 70; Spieltag 5; Oberhausen;3;1; Bremen
Saison 70; Spieltag 5; 1. FC Koeln;3;0; Aachen
Saison 70; Spieltag 5; Hannover;3;1;1860
Saison 70; Spieltag 5; VfB Stuttgart;1;4; Hertha
Saison 70; Spieltag 6; Duisburg;2;1; Oberhausen
Saison 70; Spieltag 6; Hertha;1;0; 1. FC Koeln
Saison 70; Spieltag 6; Dortmund;2;1; Gladbach
Saison 70; Spieltag 6;1860;0;2; Hamburg
Saison 70; Spieltag 6; Bremen;0;1; Schalke
Saison 70; Spieltag 6; Braunschweig;0;4; Bayern
Saison 70; Spieltag 6; Essen;3;3; VfB Stuttgart
Saison 70; Spieltag 6; Aachen;1;1; Hannover
Saison 70; Spieltag 6; Kaiserslautern;2;0; Frankfurt
Saison 70; Spieltag 7; Frankfurt;2;0; Dortmund
Saison 70; Spieltag 7; Kaiserslautern;0;0; Essen
Saison 70; Spieltag 7; Hamburg;4;1; Aachen
Saison 70; Spieltag 7; Oberhausen;3;0;1860
Saison 70; Spieltag 7; Hannover;2;1; Hertha
Saison 70; Spieltag 7; 1. FC Koeln;3;1; VfB Stuttgart
Saison 70; Spieltag 7; Bayern;4;1; Bremen
Saison 70; Spieltag 7; Gladbach;1;0; Braunschweig
Saison 70; Spieltag 7; Schalke;0;0; Duisburg
Saison 70; Spieltag 8;1860;0;2; Schalke
Saison 70; Spieltag 8; Duisburg;4;2; Bayern
Saison 70; Spieltag 8; VfB Stuttgart;2;1; Hannover
Saison 70; Spieltag 8; Dortmund;5;1; Kaiserslautern
Saison 70; Spieltag 8; Essen;0;0; 1. FC Koeln
Saison 70; Spieltag 8; Aachen;2;0; Oberhausen
Saison 70; Spieltag 8; Bremen;0;0; Gladbach
Saison 70; Spieltag 8; Braunschweig;3;1; Frankfurt
Saison 70; Spieltag 8; Hertha;1;0; Hamburg
Saison 70; Spieltag 9; Schalke;3;0; Aachen
Saison 70; Spieltag 9; Dortmund;4;1; Essen
Saison 70; Spieltag 9; Kaiserslautern;2;0; Braunschweig
Saison 70; Spieltag 9; Bayern;2;0;1860
Saison 70; Spieltag 9; Gladbach;4;1; Duisburg
Saison 70; Spieltag 9; Hannover;3;4; 1. FC Koeln
Saison 70; Spieltag 9; Frankfurt;2;1; Bremen
Saison 70; Spieltag 9; Hamburg;1;0; Hertha
Saison 70; Spieltag 9; VfB Stuttgart;0;0; Oberhausen
Saison 70; Spieltag 10; Hertha;3;2; Oberhausen
Saison 70; Spieltag 10; Hamburg;4;1; Frankfurt
Saison 70; Spieltag 10; Bremen;1;2; Dortmund
Saison 70; Spieltag 10; 1. FC Koeln;2;1; Braunschweig
Saison 70; Spieltag 10; Essen;2;2; Gladbach
Saison 70; Spieltag 10; VfB Stuttgart;2;0; Schalke
Saison 70; Spieltag 10; Aachen;0;1; Hannover
Saison 70; Spieltag 10;1860;0;0; Duisburg
Saison 70; Spieltag 10; Kaiserslautern;3;1; Bayern
Saison 70; Spieltag 11; 1. FC Koeln;2;0; Hertha
Saison 70; Spieltag 11; Dortmund;3;0; VfB Stuttgart
Saison 70; Spieltag 11; Bayern;1;1; Bremen
Saison 70; Spieltag 11; Essen;4;2; Oberhausen
Saison 70; Spieltag 11; Schalke;0;0; Hamburg
Saison 70; Spieltag 11; Frankfurt;3;1; Kaiserslautern
Saison 70; Spieltag 11; Duisburg;0;1; Braunschweig
Saison 70; Spieltag 11; Gladbach;2;0; Aachen
Saison 70; Spieltag 11; Hannover;1;1;1860
Saison 70; Spieltag 12; Braunschweig;2;0; Duisburg
Saison 70; Spieltag 12; Aachen;1;1; Dortmund
Saison 70; Spieltag 12; Hannover;1;2; Essen
Saison 70; Spieltag 12; Bayern;1;0; Frankfurt
Saison 70; Spieltag 12; Hertha;1;1; Gladbach
Saison 70; Spieltag 12; Bremen;2;2; Oberhausen
Saison 70; Spieltag 12; VfB Stuttgart;1;1; Hamburg
Saison 70; Spieltag 12; Schalke;2;1; 1. FC Koeln
Saison 70; Spieltag 12;1860;0;0; Kaiserslautern
Saison 70; Spieltag 13; Gladbach;2;2; Frankfurt
Saison 70; Spieltag 13; Oberhausen;1;2; Bremen
Saison 70; Spieltag 13; Braunschweig;2;0; Hannover
Saison 70; Spieltag 13; Essen;2;0; Bayern
Saison 70; Spieltag 13; Hertha;3;0;1860
Saison 70; Spieltag 13; Schalke;1;1; Aachen
Saison 70; Spieltag 13; Hamburg;1;0; VfB Stuttgart
Saison 70; Spieltag 13; Kaiserslautern;1;1; Dortmund
Saison 70; Spieltag 13; Duisburg;0;3; 1. FC Koeln
Saison 70; Spieltag 14; 1. FC Koeln;4;0; Braunschweig
Saison 70; Spieltag 14; Dortmund;1;1; Schalke
Saison 70; Spieltag 14; Bremen;1;1; Oberhausen
Saison 70; Spieltag 14; Aachen;2;1; Duisburg
Saison 70; Spieltag 14; Hamburg;2;0; Essen
Saison 70; Spieltag 14; Bayern;2;0; VfB Stuttgart
Saison 70; Spieltag 14; Frankfurt;1;0; Hertha
Saison 70; Spieltag 14; Hannover;2;2; Gladbach
Saison 70; Spieltag 14; Kaiserslautern;1;0;1860
Saison 70; Spieltag 15; VfB Stuttgart;3;1; Dortmund
Saison 70; Spieltag 15; Braunschweig;1;2; 1. FC Koeln
Saison 70; Spieltag 15; Hertha;1;1; Bayern
Saison 70; Spieltag 15; Schalke;2;0; Frankfurt
Saison 70; Spieltag 15; Oberhausen;1;1; Hamburg
Saison 70; Spieltag 15; Essen;2;0; Aachen
Saison 70; Spieltag 15; Gladbach;4;0; Bremen
Saison 70; Spieltag 15; Kaiserslautern;0;2; Duisburg
Saison 70; Spieltag 15;1860;1;1; Hannover
Saison 70; Spieltag 16; Frankfurt;2;1; Oberhausen
Saison 70; Spieltag 16; Hamburg;2;1; Gladbach
Saison 70; Spieltag 16; Dortmund;1;1; 1. FC Koeln
Saison 70; Spieltag 16; Essen;2;0; Duisburg
Saison 70; Spieltag 16; VfB Stuttgart;2;1; Schalke
Saison 70; Spieltag 16; Bremen;2;0; Aachen
Saison 70; Spieltag 16; Hertha;1;1;1860
Saison 70; Spieltag 16; Kaiserslautern;2;2; Braunschweig
Saison 70; Spieltag 16; Hannover;0;1; Bayern
Saison 70; Spieltag 17; Bayern;1;1; Gladbach
Saison 70; Spieltag 17; Braunschweig;2;1; Hertha
Saison 70; Spieltag 17; Essen;2;0; Oberhausen
Saison 70; Spieltag 17; Aachen;1;0; Frankfurt
Saison 70; Spieltag 17; Duisburg;1;2; Dortmund
Saison 70; Spieltag 17; Bremen;2;1; Hannover
Saison 70; Spieltag 17; VfB Stuttgart;0;2; Schalke
Saison 70; Spieltag 17; 1. FC Koeln;4;0;1860
Saison 70; Spieltag 17; Hamburg;0;1; Kaiserslautern
Saison 70; Spieltag 18;1860;1;1; Bremen
Saison 70; Spieltag 18; Kaiserslautern;2;1; Hamburg
Saison 70; Spieltag 18; Frankfurt;3;1; Braunschweig
Saison 70; Spieltag 18; Dortmund;1;1; Essen
Saison 70; Spieltag 18; Oberhausen;1;0; Duisburg
Saison 70; Spieltag 18; Schalke;1;0; VfB Stuttgart
Saison 70; Spieltag 18; Gladbach;3;0; Hertha
Saison 70; Spieltag 18; Bayern;2;0; Aachen
Saison 70; Spieltag 18; Hannover;0;2; 1. FC Koeln
Saison 70; Spieltag 19; Aachen;0;0; Essen
Saison 70; Spieltag 19; Oberhausen;0;0; Kaiserslautern
Saison 70; Spieltag 19; Schalke;0;0; Frankfurt
Saison 70; Spieltag 19; Hannover;0;2; Braunschweig
Saison 70; Spieltag 19; VfB Stuttgart;4;3; Duisburg
Saison 70; Spieltag 19; 1. FC Koeln;3;0; Bremen
Saison 70; Spieltag 19; Hamburg;4;3; Dortmund
Saison 70; Spieltag 19; Hertha;4;2;1860
Saison 70; Spieltag 19; Bayern;1;0; Gladbach
Saison 70; Spieltag 20;1860;4;1; VfB Stuttgart
Saison 70; Spieltag 20; Dortmund;3;2; Oberhausen
Saison 70; Spieltag 20; Aachen;2;4; Hertha
Saison 70; Spieltag 20; Frankfurt;2;1; Bayern
Saison 70; Spieltag 20; Bremen;1;0; Hannover
Saison 70; Spieltag 20; Duisburg;1;1; 1. FC Koeln
Saison 70; Spieltag 20; Essen;1;0; Gladbach
Saison 70; Spieltag 20; Braunschweig;3;1; Hamburg
Saison 70; Spieltag 20; Kaiserslautern;1;1; Schalke
Saison 70; Spieltag 21; 1. FC Koeln;2;1;1860
Saison 70; Spieltag 21; Hannover;0;0; Duisburg
Saison 70; Spieltag 21; Schalke;1;1; Dortmund
Saison 70; Spieltag 21; Gladbach;1;2; Frankfurt
Saison 70; Spieltag 21; Oberhausen;2;1; Braunschweig
Saison 70; Spieltag 21; Bayern;1;1; Kaiserslautern
Saison 70; Spieltag 21; VfB Stuttgart;5;0; Aachen
Saison 70; Spieltag 21; Hertha;4;0; Essen
Saison 70; Spieltag 21; Hamburg;2;2; Bremen
Saison 70; Spieltag 22; Aachen;1;3; 1. FC Koeln
Saison 70; Spieltag 22; Essen;1;1; Frankfurt
Saison 70; Spieltag 22;1860;3;0; Hannover
Saison 70; Spieltag 22; Kaiserslautern;1;4; Gladbach
Saison 70; Spieltag 22; Bremen;1;1; Oberhausen
Saison 70; Spieltag 22; Dortmund;1;3; Bayern
Saison 70; Spieltag 22; Duisburg;0;0; Hamburg
Saison 70; Spieltag 22; Braunschweig;3;0; Schalke
Saison 70; Spieltag 22; Hertha;3;1; VfB Stuttgart
Saison 70; Spieltag 23; VfB Stuttgart;4;1; Essen
Saison 70; Spieltag 23; Hamburg;1;0;1860
Saison 70; Spieltag 23; Bayern;5;1; Braunschweig
Saison 70; Spieltag 23; 1. FC Koeln;5;1; Hertha
Saison 70; Spieltag 23; Frankfurt;2;1; Kaiserslautern
Saison 70; Spieltag 23; Gladbach;4;2; Dortmund
Saison 70; Spieltag 23; Schalke;0;0; Bremen
Saison 70; Spieltag 23; Oberhausen;2;0; Duisburg
Saison 70; Spieltag 23; Hannover;5;0; Aachen
Saison 70; Spieltag 24;1860;4;1; Oberhausen
Saison 70; Spieltag 24; Duisburg;2;0; Schalke
Saison 70; Spieltag 24; VfB Stuttgart;0;3; 1. FC Koeln
Saison 70; Spieltag 24; Braunschweig;0;1; Gladbach
Saison 70; Spieltag 24; Aachen;0;2; Hamburg
Saison 70; Spieltag 24; Hertha;1;1; Hannover
Saison 70; Spieltag 24; Dortmund;2;1; Frankfurt
Saison 70; Spieltag 24; Bremen;1;0; Bayern
Saison 70; Spieltag 24; Essen;1;1; Kaiserslautern
Saison 70; Spieltag 25; Schalke;3;1;1860
Saison 70; Spieltag 25; Hannover;2;0; VfB Stuttgart
Saison 70; Spieltag 25; Oberhausen;1;0; Aachen
Saison 70; Spieltag 25; 1. FC Koeln;5;2; Essen
Saison 70; Spieltag 25; Gladbach;1;0; Bremen
Saison 70; Spieltag 25; Bayern;2;0; Duisburg
Saison 70; Spieltag 25; Kaiserslautern;2;2; Dortmund
Saison 70; Spieltag 25; Frankfurt;0;0; Braunschweig
Saison 70; Spieltag 25; Hamburg;1;0; Hertha
Saison 70; Spieltag 26; Duisburg;0;1; Gladbach
Saison 70; Spieltag 26; 1. FC Koeln;5;0; Hannover
Saison 70; Spieltag 26; VfB Stuttgart;1;1; Hamburg
Saison 70; Spieltag 26;1860;2;1; Bayern
Saison 70; Spieltag 26; Essen;3;3; Dortmund
Saison 70; Spieltag 26; Bremen;3;2; Frankfurt
Saison 70; Spieltag 26; Aachen;1;2; Schalke
Saison 70; Spieltag 26; Braunschweig;1;0; Kaiserslautern
Saison 70; Spieltag 26; Hertha;1;0; Oberhausen
Saison 70; Spieltag 27; Gladbach;3;1;1860
Saison 70; Spieltag 27; Hamburg;2;5; 1. FC Koeln
Saison 70; Spieltag 27; Hannover;3;0; Essen
Saison 70; Spieltag 27; Oberhausen;3;0; VfB Stuttgart
Saison 70; Spieltag 27; Dortmund;2;2; Braunschweig
Saison 70; Spieltag 27; Bayern;6;0; Aachen
Saison 70; Spieltag 27; Frankfurt;0;1; Duisburg
Saison 70; Spieltag 27; Kaiserslautern;1;0; Schalke
Saison 70; Spieltag 27; Bremen;1;0; Hertha
Saison 70; Spieltag 28; Aachen;2;1; Braunschweig
Saison 70; Spieltag 28; Schalke;3;2; Bremen
Saison 70; Spieltag 28; 1. FC Koeln;2;0; Dortmund
Saison 70; Spieltag 28; Essen;2;1; Bayern
Saison 70; Spieltag 28; Hertha;0;0; Duisburg
Saison 70; Spieltag 28; VfB Stuttgart;1;0; Gladbach
Saison 70; Spieltag 28; Frankfurt;1;2; Hannover
Saison 70; Spieltag 28;1860;2;0; Hamburg SV
Saison 70; Spieltag 28; Oberhausen;3;0; Kaiserslautern
Saison 70; Spieltag 29; Bremen;1;0;1860
Saison 70; Spieltag 29; Braunschweig;1;1; Essen
Saison 70; Spieltag 29; Bayern;2;0; Schalke
Saison 70; Spieltag 29; Hamburg;1;0; VfB Stuttgart
Saison 70; Spieltag 29; Gladbach;3;1; Aachen
Saison 70; Spieltag 29; Kaiserslautern;2;2; Hertha
Saison 70; Spieltag 29; Oberhausen;2;1; Dortmund
Saison 70; Spieltag 29; Hannover;3;1; Frankfurt
Saison 70; Spieltag 29; Duisburg;1;2; 1. FC Koeln
Saison 70; Spieltag 30; Hertha;1;3; Bayern
Saison 70; Spieltag 30; VfB Stuttgart;1;0; Gladbach
Saison 70; Spieltag 30; Oberhausen;2;1; Hannover
Saison 70; Spieltag 30; Dortmund;3;0; Bremen
Saison 70; Spieltag 30; Braunschweig;1;1;1860
Saison 70; Spieltag 30; Hamburg;0;2; 1. FC Koeln
Saison 70; Spieltag 30; Schalke;3;2; Essen
Saison 70; Spieltag 30; Duisburg;1;0; Aachen
Saison 70; Spieltag 30; Frankfurt;1;2; Kaiserslautern
Saison 70; Spieltag 31; Oberhausen;1;1; Essen
Saison 70; Spieltag 31; Bayern;7;2; Hannover
Saison 70; Spieltag 31; Gladbach;2;0; 1. FC Koeln
Saison 70; Spieltag 31; Braunschweig;2;2;1860
Saison 70; Spieltag 31; Kaiserslautern;1;0; Hertha
Saison 70; Spieltag 31; Dortmund;3;1; Aachen
Saison 70; Spieltag 31; Bremen;1;0; Duisburg
Saison 70; Spieltag 31; Schalke;1;1; Hamburg
Saison 70; Spieltag 31; Frankfurt;4;0; VfB Stuttgart
Saison 70; Spieltag 32; Aachen;1;1; Braunschweig
Saison 70; Spieltag 32; Hamburg;1;3; Bayern
Saison 70; Spieltag 32; Schalke;2;2; Oberhausen
Saison 70; Spieltag 32; Duisburg;0;1; Essen
Saison 70; Spieltag 32;1860;1;0; Bremen
Saison 70; Spieltag 32; Hannover;1;0; Gladbach
Saison 70; Spieltag 32; VfB Stuttgart;2;1; Kaiserslautern
Saison 70; Spieltag 32; Hertha;9;1; Dortmund
Saison 70; Spieltag 32; 1. FC Koeln;1;2; Frankfurt
Saison 70; Spieltag 33; Essen;1;1; Schalke
Saison 70; Spieltag 33; Kaiserslautern;3;2; 1. FC Koeln
